Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Cezares Margot CD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cd_01_bi/;MARGOT-CD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Однорычажное;На стену;210;1340;480;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевой гарнитур Cezares Vintage SD-01-Sw;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_vintage_vintage_sd_01_sw/;VINTAGE-SD-01-Sw;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Vintage;Душевой гарнитур;Для душа;;На стену;120;715;117;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Nostalgia CD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_01_bi/;NOSTALGIA-CD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Lira C-CD-03;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_lira_lira_c_cd_03/;LIRA-C-CD-03;Cezares;Главная @ Душевые системы @ Душевые стойки ;Lira;Душевая стойка;Для душа;Однорычажное;На стену;180;1260;420;Латунь;Модерн;Золото;3;;;380;Да;Есть;Есть;01.фев;;;Италия;Да;;;Нет;;6;
Душевая стойка Cezares Margot CD-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cd_01_m/;MARGOT-CD-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Однорычажное;На стену;210;1340;480;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевая стойка Cezares Retro C-CVD2-03;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_retro_retro_c_cvd2_03/;RETRO-C-CVD2-03;Cezares;Главная @ Душевые системы @ Душевые стойки ;Retro;Душевая стойка;Для душа;Двухвентильное;На стену;200;1260;400;Латунь;Модерн;Золото;3;Фиксированный;Традиционная;141;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Margot CD-T-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cd_t_01_bi/;MARGOT-CD-T-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Термостат;На стену;210;1340;480;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Да;210;6;
Душевая стойка Cezares Vintage CAE-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_vintage_vintage_cae_01_m/;VINTAGE-CAE-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Vintage;Душевая стойка;Для душа;;На стену;200;1268;455;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Margot CVDF-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cvdf_01_bi/;MARGOT-CVDF-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Двухвентильное;На стену;210;1268;455;Латунь;Модерн;Хром;3;Поворотный;Традиционная;285;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевая стойка Cezares Nostalgia CD-03/24-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_03_24_bi/;NOSTALGIA-CD-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Золото;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
