Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая лейка Kludi Fizz 6080005-00;https://www.aquanet.ru/product/dushevaya-leyka-kludi-fizz-6080005-00/;6080005-00;Kludi;Главная @ Душевые системы @ Душевые лейки ;Fizz;Душевая лейка;Для душа;;На шланг;84;230;;Латунь/пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;01.фев;
Душевой гарнитур Kludi Freshline 6783005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-freshline-6783005-00/;6783005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Freshline;Душевой гарнитур;Для душа;;На стену;;620;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Logo 6801005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-logo-6801005-00/;6801005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Logo;Душевой гарнитур;Для душа;;На стену;96;;142;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Logo 6819005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-logo-6819005-00/;6819005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Logo;Душевой гарнитур;Для душа;;На стену;75;916;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;3;
Душевой гарнитур Kludi Fizz 6774091-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-fizz-6774091-00/;6774091-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Fizz;Душевой гарнитур;Для душа;;На стену;;915;;Латунь/пластик;Модерн;Хром/белый;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;3;
Душевой гарнитур Kludi Freshline 6787005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-freshline-6787005-00/;6787005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Freshline;Душевой гарнитур;Для душа;;На стену;100;300;50;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Freshline 6784005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-freshline-6784005-00/;6784005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Freshline;Душевой гарнитур;Для душа;;На стену;;915;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;3;
Душевой гарнитур Kludi Freshline 6785005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-freshline-6785005-00/;6785005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Freshline;Душевой гарнитур;Для душа;;На стену;120;249;151;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Шланг для душа Kludi Suparaflex White 6107291-00;https://www.aquanet.ru/product/gibkiy-shlang-dlya-dusha-kludi-suparaflex-white-6107291-00/;6107291-00;Kludi;Главная @ Душевые системы @ Шланги для душа ;Suparaflex White;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром/белый;;;;;;;;01.фев;;;Германия;;;;;;1;
Верхний душ Kludi A-Qa 6444005-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6444005-00/;6444005-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;400;;400;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;400;3;
Верхний душ Kludi Fizz 6757505-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-fizz-6757505-00/;6757505-00;Kludi;Главная @ Душевые системы @ Верхние души ;Fizz;Верхний душ;Для душа;;На потолок / На стену;340;80;90;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;340;3;
Шланг для душа Kludi Suparaflex Silver 6107205-00;https://www.aquanet.ru/product/gibkiy-shlang-dlya-dusha-kludi-suparaflex-silver-6107205-00/;6107205-00;Kludi;Главная @ Душевые системы @ Шланги для душа ;Suparaflex Silver;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Германия;;;;;;1;
Душевой гарнитур Kludi Fizz 6767091-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-fizz-6767091-00/;6767091-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Fizz;Душевой гарнитур;Для душа;;На стену;100;295;50;Латунь/пластик;Модерн;Хром/белый;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Logo 6803005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-logo-6803005-00/;6803005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Logo;Душевой гарнитур;Для душа;;На стену;96;;142;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Fizz 6775091-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-fizz-6775091-00/;6775091-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Fizz;Душевой гарнитур;Для душа;;На стену;;262;161;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Верхний душ Kludi A-Qa 6653105-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6653105-00/;6653105-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;250;55;250;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;250;01.фев;
Верхний душ Kludi A-Qa 6651105-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6651105-00/;6651105-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;245;80;245;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;245;янв.23;
Верхний душ Kludi A-Qa 6432005-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6432005-00/;6432005-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;200;56;200;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;200;3;
Душевой гарнитур Kludi A-Qa 6574005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-a-qa-6574005-00/;6574005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;A-Qa;Душевой гарнитур;Для душа;;На стену;;915;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;01.май;
Душевой гарнитур Kludi Freshline 6795005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-freshline-6795005-00/;6795005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Freshline;Душевой гарнитур;Для душа;;На стену;140;263;175;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Верхний душ Kludi A-Qa 6443005-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6443005-00/;6443005-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;300;;300;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Да;;;;300;3;
Душевой гарнитур Kludi Fizz 6775005-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-fizz-6775005-00/;6775005-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Fizz;Душевой гарнитур;Для душа;;На стену;;262;161;Латунь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3;
Душевой гарнитур Kludi Fizz 6764091-00;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-fizz-6085091-00/;6764091-00;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Fizz;Душевой гарнитур;Для душа;;На стену;;915;;Латунь/пластик;Модерн;Хром/белый;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;3;
Душевой гарнитур Kludi Adlon 2710345;https://www.aquanet.ru/product/dushevoy-garnitur-kludi-adlon-2710345/;2710345;Kludi;Главная @ Душевые системы @ Душевые гарнитуры ;Adlon;Душевой гарнитур;Для душа;;На стену;;585;;Латунь/пластик;Модерн;Золото;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;02.май;
Шланг для душа Kludi Logoflex 6105705-00;https://www.aquanet.ru/product/gibkiy-shlang-dlya-dusha-kludi-logoflex-6105705-00/;6105705-00;Kludi;Главная @ Душевые системы @ Шланги для душа ;Logoflex;Гибкий шланг для душа;Для душа;;;;;;Металл;;Хром;;;;;;;;01.фев;;;Германия;;;;;;1;
Душевая лейка Jacob Delafon Noe Switch E22269-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-noe-switch-e22269-cp/;E22269-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Noe Switch;Душевая лейка;Для душа;;На шланг;136;273;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;2;
Верхний душ Jacob Delafon Toobi E21758-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-toobi-e21758-cp/;E21758-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Toobi;Верхний душ;Для душа;;На потолок;250;56;250;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;250;;
Душевая лейка Cezares Articoli Vari CZR-D1FC2-02-Bi;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_czr_d1fc2_02_bi/;CZR-D1FC2-02-Bi;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Бронза;;;;;;;Нет;01.фев;;;Италия;;;;;;1;
Верхний душ Kludi A-Qa 6442505-00;https://www.aquanet.ru/product/verkhniy-dush-kludi-a-qa-6442505-00/;6442505-00;Kludi;Главная @ Душевые системы @ Верхние души ;A-Qa;Верхний душ;Для душа;;На потолок / На стену;250;;250;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;250;3;
Душевая стойка Ideal Standard IdealRain Eco A6421AA;https://www.aquanet.ru/product/dushevaya-stoyka-ideal-standard-idealrain-eco-a6421aa/;A6421AA;Ideal Standard;Главная @ Душевые системы @ Душевые стойки ;Idealrain;Душевая стойка;Для душа;Термостат;На стену;311;1050;508;Латунь/пластик;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Германия;Да;;;Да;200;03.июн;
Душевая стойка Ideal Standard IdealRain Eco A6426AA;https://www.aquanet.ru/product/dushevaya-stoyka-ideal-standard-idealrain-eco-a6426aa/;A6426AA;Ideal Standard;Главная @ Душевые системы @ Душевые стойки ;Idealrain;Душевая стойка;Для душа;Термостат;На стену;311;1050;508;Латунь/пластик;Модерн;Хром;3;Фиксированный;Традиционная;174;Да;Есть;Есть;01.фев;1500;1500;Германия;Да;;;Да;200;04.авг;
Душевой комплект Timo Selene SX-3069/00SM (1013);https://www.aquanet.ru/product/dushevoy_garnitur_timo_selene_sx_3069_00sm_1013/;SX-3069/00SM (1013);Timo;Главная @ Душевые системы @ Душевые комплекты ;Selene;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;;Латунь;Модерн;Хром;4;Поворотный;Традиционная;160;Да;Есть;;;1500;1500;Финляндия;;;;;;04.янв;
Душевая лейка Grohe Tempesta Cosmopolitan 26082002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-cosmopolitan-26082002/;26082002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;200;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.24;
Душевая лейка Grohe New Tempesta 27923001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-new-tempesta-27923001/;27923001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;200;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.27;
Душевая лейка Ideal Standard Idealrain Evo Round L3 B2231AA;https://www.aquanet.ru/product/dushevaya-leyka-ideal-standard-idealrain-evo-round-l3-b2231aa/;B2231AA;Ideal Standard;Главная @ Душевые системы @ Душевые лейки ;Idealrain;Душевая лейка;Для душа;;На шланг;110;249;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Болгария;;;;;;0.2;
Душевая лейка Grohe New Tempesta 28421002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-new-tempesta-28421002/;28421002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.29;
Душевая лейка Grohe Relexa Five 28796000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-relexa-five-28796000/;28796000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Relexa;Душевая лейка;Для душа;;На шланг;100;225;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.3;
Душевая лейка Grohe Tempesta Cosmopolitan 27574002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-cosmopolitan-27574002/;27574002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.29;
Душевая лейка Grohe Tempesta New 27852001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-new-27852001/;27852001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.27;
Душевая лейка Grohe Tempesta Cosmopolitan 27572002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-cosmopolitan-27572002/;27572002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.26;
Душевая лейка Grohe Euphoria Cube Stick 27699000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-cube-stick-27699000/;27699000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;27;216;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.12;
Душевой гарнитур Ideal Standard IdealRain Evo Jet Diamond XL3 B1762AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-jet-diamond-xl3-b1762aa/;B1762AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;134;603;335;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;01.мар;
Душевой гарнитур Ideal Standard IdealRain Evo Jet Round XL3 B1765AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-jet-round-xl3-b1765aa/;B1765AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;125;266;330;Пластик;Модерн;Хром;1;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;2;
Душевая лейка Ideal Standard Idealrain Evo Jet Round XL3 B1759AA;https://www.aquanet.ru/product/dushevaya-leyka-ideal-standard-idealrain-evo-jet-round-xl3-b1759aa/;B1759AA;Ideal Standard;Главная @ Душевые системы @ Душевые лейки ;Idealrain;Душевая лейка;Для душа;;На шланг;125;248;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Болгария;;;;;;0.23;
Душевой гарнитур Ideal Standard IdealRain Evo Diamond L3 B2234AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-diamond-l3-b2234aa/;B2234AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;115;603;334;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;01.мар;
Душевая лейка Ideal Standard Idealrain Evo Jet Diamond XL3 B1760AA;https://www.aquanet.ru/product/dushevaya-leyka-ideal-standard-idealrain-evo-jet-diamond-xl3-b1760aa/;B1760AA;Ideal Standard;Главная @ Душевые системы @ Душевые лейки ;Idealrain;Душевая лейка;Для душа;;На шланг;134;252;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Болгария;;;;;;0.2;
Душевая лейка Grohe Euphoria Cosmopolitan 27367000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-cosmopolitan-27367000/;27367000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;35;216;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.16;
Душевая лейка Grohe New Tempesta 28419002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-new-tempesta-28419002/;28419002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.28;
Душевой гарнитур Ideal Standard IdealRain Evo Round L3 B2237AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-round-l3-b2237aa/;B2237AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;110;903;333;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;янв.43;
Душевой гарнитур Ideal Standard IdealRain Evo Diamond L3 B2240AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-diamond-l3-b2240aa/;B2240AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;115;269;335;Пластик;Модерн;Хром;1;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;2;
Душевой гарнитур Ideal Standard IdealRain Evo Diamond L3 B2238AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-diamond-l3-b2238aa/;B2238AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;115;903;334;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;янв.43;
Душевая лейка Ideal Standard Idealrain Evo Diamond L3 B2232AA;https://www.aquanet.ru/product/dushevaya-leyka-ideal-standard-idealrain-evo-diamond-l3-b2232aa/;B2232AA;Ideal Standard;Главная @ Душевые системы @ Душевые лейки ;Idealrain;Душевая лейка;Для душа;;На шланг;115;251;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Болгария;;;;;;0.2;
Душевой гарнитур Ideal Standard IdealRain Evo Jet Round XL3 B1761AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-evo-jet-round-xl3-b1761aa/;B1761AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;125;603;330;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;янв.33;
Душевой гарнитур Ideal Standard IdealRain Pro B9835AA;https://www.aquanet.ru/product/dushevoy-garnitur-ideal-standard-idealrain-pro-b9835aa/;B9835AA;Ideal Standard;Главная @ Душевые системы @ Душевые гарнитуры ;Idealrain;Душевой гарнитур;Для душа;;На стену;160;905;313;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Болгария;;;;;;янв.43;
Верхний душ Ideal Standard IdealRain Pro B9845AA;https://www.aquanet.ru/product/verkhniy-dush-ideal-standard-idealrain-pro-b9845aa/;B9845AA;Ideal Standard;Главная @ Душевые системы @ Верхние души ;Idealrain;Верхний душ;Для душа;;На потолок;400;57;400;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Болгария;Да;;;;400;мар.56;
Душевая лейка Grohe Tempesta New 28261002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-new-28261002/;28261002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.28;
Верхний душ Ideal Standard IdealRain Luxe B0391MY;https://www.aquanet.ru/product/verkhniy-dush-ideal-standard-idealrain-luxe-b0391my/;B0391MY;Ideal Standard;Главная @ Душевые системы @ Верхние души ;Idealrain;Верхний душ;Для душа;;На потолок;400;53;250;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Болгария;Да;;;;400;янв.64;
Шланг для душа Cezares Articoli Vari CZR-FMDC-150-03;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fmdc_150_03/;CZR-FMDC-150-03;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Золото;;;;;;;;;;;Италия;;;;;;0.3;
Шланг для душа Grohe Rotaflex 28025000;https://www.aquanet.ru/product/shlang_dlya_dusha_grohe_rotaflex_28025000/;28025000;Grohe;Главная @ Душевые системы @ Шланги для душа ;Rotaflex;Гибкий шланг для душа;Для душа;;;;;;Алюминий;;Хром;;;;;;;;01.фев;;;Германия;;;;;;0.43;
Шланг для душа Cezares Articoli Vari CZR-FMDC2-180-03;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fmdc2_180_03/;CZR-FMDC2-180-03;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Золото;;;;;;;;;;;Италия;;;;;;0.3;
Шланг для душа Cezares Articoli Vari CZR-FMDC2-120-03;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fmdc2_120_03/;CZR-FMDC2-120-03;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Золото;;;;;;;;;;;Италия;;;;;;0.22;
Душевая лейка Hansgrohe Raindance Select S 120 3jet PowderRain 26014000;https://www.aquanet.ru/product/dushevaya-leyka-hansgrohe-raindance-select-s-120-3jet-powderrain-26014000/;26014000;Hansgrohe;Главная @ Душевые системы @ Душевые лейки ;Raindance;Душевая лейка;Для душа;;На шланг;125;222;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.395;
Верхний душ Hansgrohe Raindance S 1jet 240 PowderRain 27623000;https://www.aquanet.ru/product/verkhniy-dush-hansgrohe-raindance-s-1jet-240-powderrain-27623000/;27623000;Hansgrohe;Главная @ Душевые системы @ Верхние души ;Raindance;Верхний душ;Для душа;;На потолок / На стену;240;59;240;Металл;Модерн;Хром;;;;;;;;01.фев;;;Германия;Да;;;;240;1.628;
Верхний душ Hansgrohe Raindance S 1jet 240 PowderRain 27620000;https://www.aquanet.ru/product/verkhniy-dush-hansgrohe-raindance-s-1jet-240-powderrain-27620000/;27620000;Hansgrohe;Главная @ Душевые системы @ Верхние души ;Raindance;Верхний душ;Для душа;;На потолок;240;166;240;Металл;Модерн;Хром;;;;;;;;01.фев;;;Германия;Да;;;;240;1.959;
Душевой гарнитур Hansgrohe Raindance Select S 3jet 27654000;https://www.aquanet.ru/product/dushevoy-garnitur-hansgrohe-raindance-select-s-3jet-27654000/;27654000;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;Raindance;Душевой гарнитур;Для душа;;На стену;153;718;310;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;янв.51;
Верхний душ Hansgrohe Raindance S 1jet 240 PowderRain 27607000;https://www.aquanet.ru/product/verkhniy-dush-hansgrohe-raindance-s-1jet-240-powderrain-27607000/;27607000;Hansgrohe;Главная @ Душевые системы @ Верхние души ;Raindance;Верхний душ;Для душа;;На стену;240;104;513;Металл;Модерн;Хром;;;;;;;;01.фев;;;Германия;Да;;;;240;2.942;
Душевой гарнитур Hansgrohe Raindance Select S 3jet 27668000;https://www.aquanet.ru/product/dushevoy-garnitur-hansgrohe-raindance-select-s-3jet-27668000/;27668000;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;Raindance;Душевой гарнитур;Для душа;;На стену;125;131;125;Пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;0.75;
Душевой гарнитур Hansgrohe Raindance Select S 3jet 27667000;https://www.aquanet.ru/product/dushevoy-garnitur-hansgrohe-raindance-select-s-3jet-27667000/;27667000;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;Raindance;Душевой гарнитур;Для душа;;На стену;153;1008;310;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;;;;;1.655;
Душевая лейка Lemark LM8007B;https://www.aquanet.ru/product/dushevaya_leyka_lemark_lm8007b/;LM8007B;Lemark;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;;;;Латунь/керамика;Модерн;Бронза;;;;;;;Нет;01.фев;;;Чехия;;;;;;0.3;
Верхний душ Jacob Delafon Brive E21755-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-brive-e21755-cp/;E21755-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Brive;Верхний душ;Для душа;;На потолок;200;58;200;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;;
Верхний душ Jacob Delafon Strayt E21757-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-strayt-e21757-cp/;E21757-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Strayt;Верхний душ;Для душа;;На потолок;250;46;250;Металл;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;250;;
Верхний душ Jacob Delafon July E21761-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-july-e21761-cp/;E21761-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;July;Верхний душ;Для душа;;На потолок;200;55;200;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;;
Душевая лейка Jacob Delafon Brive E21756-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-brive-e21756-cp/;E21756-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Brive;Душевая лейка;Для душа;;На шланг;100;230;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;;
